Stock,year,Open,High,Low,Close,AdjClose,Volume,average
INTC,9,33.509998,35.860001,33.23,35.470001,35.205719,440860400,37
INTC,10,35.66,36.700001,34.380001,35.07,34.808697,496928000,37
INTC,11,35.240002,38.150002,34.93,38.080002,38.080002,431948900,37
INTC,12,38.119999,45,38.080002,44.400002,44.400002,537401000,37
INTC,13,43.299999,45,43.099998,44.400002,44.400002,90028300,37
GS,1,179,220.770004,174.729996,219.289993,216.571213,90387000,230
GS,2,220.929993,245.570007,220.350006,239.449997,237.214279,96023400,230
GS,3,242.699997,247.770004,228.160004,229.320007,227.178864,83796900,230
GS,4,230.509995,252.649994,227.050003,248.059998,245.743896,65118900,230
GS,5,253.710007,255.149994,220.850006,229.720001,228.169968,90305600,230
GS,6,230,232.889999,213.179993,223.800003,222.289902,81426700,230
GS,7,224.899994,228.889999,209.619995,211.259995,209.834518,71757000,230
GS,8,212.610001,228.789993,210.789993,221.899994,221.144714,74334200,230
GS,9,224.460007,230.639999,218,225.330002,224.563049,63113900,230
GS,10,227.089996,235.830002,215.75,223.740005,222.97847,60419100,230
GS,11,224.550003,237.600006,214.639999,237.190002,237.190002,55573100,230
GS,12,237.199997,247.080002,235.190002,241.710007,241.710007,50611000,230
GS,13,240.850006,242.440002,239.669998,241.710007,241.710007,2111903,230
COCA-COLA,1,42.400002,42.98,40.349998,40.349998,39.027393,316484200,43
COCA-COLA,2,40.310001,42.220001,39.880001,42,40.966747,324399500,43
COCA-COLA,3,41.5,42.25,40.689999,41.57,40.547321,240307600,43
COCA-COLA,4,41.52,42.150002,40.220001,41.959999,40.927727,333969400,43
COCA-COLA,5,42.009998,42.700001,41.740002,42.439999,41.39592,339185400,43
COCA-COLA,6,42.580002,43.790001,42.27,43.150002,42.459942,232326500,43
COCA-COLA,7,43.150002,45.700001,43.099998,45.470001,44.74284,250453800,43
COCA-COLA,8,45.450001,46.060001,44.650002,44.849998,44.132755,241386100,43
COCA-COLA,9,45.110001,46.43,44.150002,45.84,45.47813,195369200,43
COCA-COLA,10,45.970001,46.34,45.25,45.549999,45.190422,208603500,43
COCA-COLA,11,45.639999,46.98,44.380001,45.009998,44.654682,197449400,43
COCA-COLA,12,45.049999,46.790001,44.75,46.049999,46.049999,157406300,43
COCA-COLA,13,46.130001,46.330002,45.91,46.07,46.07,9987969,43
MCD,1,112.650002,121.870003,110.830002,119.269997,116.064438,89005600,143
MCD,2,118.959999,124,117.709999,121.720001,119.36969,78403000,143
MCD,3,121.860001,123.339996,118.18,122.57,120.203278,76857800,143
MCD,4,121.900002,128.899994,121.699997,127.650002,125.185188,64269600,143
MCD,5,128.020004,130.190002,127.339996,129.610001,128.042908,89808900,143
MCD,6,129.5,142.789993,128.649994,139.929993,138.238129,77967600,143
MCD,7,139.860001,151.149994,139.839996,150.889999,149.065613,74914100,143
MCD,8,150.789993,155.460007,148.039993,153.160004,151.308167,70363800,143
MCD,9,153.440002,159.979996,151.770004,155.139999,154.225006,69344000,143
MCD,10,154.979996,160,153.229996,159.970001,159.02652,66879200,143
MCD,11,159.869995,161.720001,153.270004,156.679993,156.679993,81721200,143
MCD,12,156,167.899994,155.800003,163.580002,163.580002,60483400,143
MCD,13,164.089996,165.850006,163.770004,165.389999,165.389999,2298244,143
